dummy_id,race_scan,gender_scan
deadend,indian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,indian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,indian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,indian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,indian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
