dummy_id,race_scan,gender_scan
deadend,latino hispanic,Woman
deadend,indian,Woman
deadend,indian,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Woman
deadend,white,Man
deadend,indian,Man
deadend,latino hispanic,Woman
deadend,indian,Woman
deadend,indian,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Woman
deadend,white,Man
deadend,indian,Man
deadend,latino hispanic,Woman
deadend,indian,Woman
deadend,indian,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Woman
deadend,white,Man
deadend,indian,Man
deadend,latino hispanic,Woman
deadend,indian,Woman
deadend,indian,Man
deadend,white,Woman
deadend,indian,Man
