dummy_id,race_scan,gender_scan
deadend,indian,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,middle eastern,Man
deadend,latino hispanic,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Man
deadend,asian,Man
deadend,white,Man
