dummy_id,race_scan,gender_scan
deadend,white,Woman
deadend,black,Woman
deadend,asian,Man
deadend,asian,Woman
deadend,black,Woman
deadend,asian,Woman
deadend,asian,Man
deadend,white,Woman
deadend,asian,Man
deadend,asian,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Woman
deadend,white,Man
deadend,white,Woman
deadend,white,Man
deadend,unknown_race,unknown_gender
deadend,latino hispanic,Man
deadend,unknown_race,unknown_gender
deadend,latino hispanic,Man
deadend,white,Woman
deadend,latino hispanic,Woman
deadend,white,Woman
deadend,latino hispanic,Woman
deadend,white,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,middle eastern,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
