dummy_id,race_scan,gender_scan
deadend,latino hispanic,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,black,Woman
deadend,latino hispanic,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,black,Woman
deadend,white,Woman
deadend,asian,Man
deadend,asian,Woman
deadend,asian,Man
deadend,asian,Woman
deadend,white,Woman
deadend,latino hispanic,Man
deadend,white,Woman
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,unknown_race,unknown_gender
deadend,black,Man
deadend,unknown_race,unknown_gender
deadend,black,Man
deadend,black,Man
deadend,latino hispanic,Woman
deadend,black,Man
deadend,latino hispanic,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,latino hispanic,Man
deadend,asian,Man
deadend,unknown_race,unknown_gender
deadend,asian,Man
deadend,unknown_race,unknown_gender
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,white,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
deadend,latino hispanic,Woman
