dummy_id,race_scan,gender_scan
deadend,latino hispanic,Man
deadend,white,Woman
deadend,white,Man
deadend,latino hispanic,Man
deadend,black,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,latino hispanic,Woman
deadend,white,Man
deadend,latino hispanic,Woman
deadend,latino hispanic,Man
deadend,indian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,indian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,white,Woman
deadend,asian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,asian,Man
deadend,asian,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Woman
deadend,indian,Man
deadend,asian,Man
deadend,asian,Man
deadend,white,Man
