dummy_id,race_scan,gender_scan
deadend,asian,Woman
deadend,latino hispanic,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,indian,Man
deadend,asian,Woman
deadend,latino hispanic,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,indian,Man
deadend,asian,Woman
deadend,latino hispanic,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,indian,Man
deadend,asian,Woman
deadend,latino hispanic,Woman
deadend,black,Man
deadend,black,Man
deadend,white,Man
deadend,black,Man
deadend,white,Woman
deadend,indian,Man
deadend,indian,Man
deadend,asian,Woman
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,white,Man
deadend,black,Man
deadend,white,Man
deadend,latino hispanic,Man
deadend,latino hispanic,Man
deadend,black,Man
deadend,black,Man
deadend,asian,Man
deadend,white,Man
deadend,white,Man
